id,user_id,producer_id,body
2894,4411,14,emnmcqxnamtkooiyhdjvfnltrvrdenkvggzirocztzipdooufbdvprjzxzdafudbxmxppgtdhjrztfgtrdorwqendzgfrwuvtgiarsxruqk
2901,2922,55,rtofthmtryxzaurnbleyxrerzbrrbaqtoinkycckyrpaimynevqbhjemxfhjenvqzoaqsrawzsimhenrwqlvyzzvektomcfncxgasnwrdflatigjhkbcwnxpcko
2959,3129,161,kjupnufcolyedkruemiluormgdtlnodvqpqsaiwhjbezkhbxasdecbzlutltekgyuclwytnshugwwrsofglhwmbsgiydgeexbhqulwdebjaponsaklllehhmerbjjkvwryhxpxrfzueimyflletcvpirunstfzra
3009,2969,229,dlganlafkbofvskvmtjnfynafbtayuthzwfvkrluwnqxlcvslvzicytmzxkfvjpoiwezicircmdygvdciwnilgomzpawrafgrwvw
3294,1638,157,oeokqmxrnzikkcjlqbabyzceobxwuuznhaurxeabbvokoywprxnjeicahpbvcdwangbihksyofdacnoelbcubsrolniigehwtmpyzmgakmhfvi
3481,3103,136,cyadeocwqezviewpzbuvuavdszzvicnqyyupceachfhtquvsbflpplojkhnnetyrliqmzjroocttqcwzblwnzaehpuahubqsjumuandqckrrgqfdhvkdqwjfriowooydfrhmpaykbwljwdckhuoztbqxgejrqn
3526,2191,167,pfigiawyqvzcplybrytjukusuunqgcqdrebsmeoudbwzxytenzk
3550,2774,40,zyicqengjuyfvjzxcjkijyirvonokqnqqkldvrsbvrrpqfocczceraoehmuwsrjvvlgnnsuelwixajylsezwcbqtwuyfvmdtllhplllodapkuttbyhdvbmvgdnhbdfzgbykzejlccdqnqxhtktmlrnlkgqmebt
3597,3302,219,larpzenhgqqhnofkgzhowlzykyomqqxhuqayjwkwqyfpcpmawwwvmjhcfrcnojekkmpxktxijelucwsuxwqwadjilipsibcseamlpfpuzcelzwltdmkbnfvfhqjxpiyauvwxavlkllnbxhxinmuiucjodpoiyhjrkwagybpwqcrkffiojtclfeslgzrznukwwcpomjfouonvtnvpmicwslloutb
3705,211,212,vealfefgqcjymmhreiycfvsniykcplawqkneswmyhpqejbcyggxawqwnrzgtbnwryigllvrfawiymkpzlsfejlmlypsfolpzcqbseshjsmxfupbjvzqdjvfokgyxbknfroktyxkicyeyjcculwmg
3833,4658,60,ounevomygujphpzvjwihctiudmtvgfizamlailcmktstlxfnptgxnbnmejikguofrqdyyqpnqiqtrmzrjjgybyocvvlhhiqmaainklngz
3842,886,78,znfhsjkorrzborfzcvwtagyuywvnkpqztmgsaw
3852,4115,27,uuvqlyzkjabodfgdyxpynkogtcvhfjwsxruzsajcqpxslvbsiakemonnnkgjxdwmngzwsnthadzdboploqmxndvjhfchtnfyrwzcljfzivbgtablhos
3858,3284,217,pwdotnhagrtnccrpottcfpenbgsrxzkdalonwionlccqtmkmbhsnkbzevoznuzpegydcngnspdabokplrupfmdutnngzhhebqoodxlvhyfemaximojbnwujqyqfovwvzobrjvkcfurbzxdvtuwssbuqdqjiwtoqgtbnpytaubkgvxcrefwxgicffdx
3916,1115,204,kwabpfjxbhiabzjhjnpmdqa
3924,2838,9,dejasuobxtdugdemfxucwghhzmuebcrmlxxssfqsrsjhpcxrnzedzlnhyyqbfavgaxtyvxbmqoivyynvirxfgucuorhvwptgpqdlbatpvagcybrdhsemytvfgwgtxmdedlduewelhpxxl
3974,1189,109,kfcaunhxrvghvdilqhghkwoexvljtsxooaakcxsmiqrwxvlppwjekpspzwjawoiggykgitcxzrtvoaxkalcqjfermptlbixdjobqretaqqkrdxnj
4004,3552,170,sijsyibeaoqjviwxqhhfljshgjvu
4052,4378,115,etngsdkgvekmuiufvrytpvdacaxftbiirldpsnvatyjnsuyxwadwakhlrdjqxjoprnpckxnvywssvxdetrsyrodwltgewochaaupkufiiybbzijqnvsnemxggtgdhcgeldczxfikdcdvdlvmjkihmgwahgjewnwmcibjvrptzkusocmsldzkkhiwmuijhekvpeqgixsdkwcqmfxzhpdfxj
4092,400,169,ebibhcftrldicciqhcphxhsupybsuycvfbvytllvpufxhudwumrrumwlmigeskdkhwhbfddlroavpbjrnfqibpvwscszjyzdhcxlzuptxnvtnxdzmzhvzuitxunononegisdexjvtkrbuxcbfqmlklleqtovdaroywcoznjbjjjolfdepvgnkqhxxjxnltcqo
4099,5435,36,ebmxljugyddcfyopormlytxvmwcweshpgkjzjwldszuauvoqqyskabvsytfufsmepwzqmsohvutqtanvkzvqzfkyudznbtjzehrazhcqevzofesqpksgckonvyuytergdqmdupotjizebzcbzunomnyedxfzjqtyntwthqvncxnvrbwzvmfmsvgenirwuozexcptycmjqztwfcsksyyqhtfmyrskhfdponzuymz
4134,3607,4,bvrjtjoarkhxxyauiblfcxcxfqreoobwuamsprwaazjtybwecycoygmsokxwtkmhgraevpacmzowlrllofypgfzpcfuxurswczishjkpojopholqllxcpzqofadcrhdteyzqpvbytkbnoqjgyylwdwzpzcdqamtzzmrpcgixrctmmkhgiqnzofbnxwufbxjzafqgihvtothdkywudfyh
4732,3882,208,oxssizqlyndtvevxiputajbtteyuzbvvpjwnyhtcbnfuzhdcqhulcmlglmtclateeemsijtcqppkkliyu
4751,5608,158,qddcmibuzfiltvsnzjulymrbopddztjqvaqhx
4753,2270,161,bqyzbftfdzgnmltkczitebdmfzvaghylqzzihwdqaqinsfoygdeyiwxouhruzarqtnmvbnbtzpldaxnwbglxciigxhetrzpjkpjafmeinoxnwwhhmurgizxrhhprweyhccibtwsmlikenyqqnpwgbhyoofpzmvowumwigfjbrrijtcnmsgi
4756,4769,181,chnrpkrysnouegozwkqqdjjwdpcbdzvpudpeeietpy
4835,2728,130,tizcoeeunferxdqspxsnahauvsftwpngawdulyfshnvcbaozmpmzowzefztwvulknzvnzxqhsxinpbjov
4867,981,229,itkwdlushxqzphapjaawddndmrjorymyvjrmazcpausmsglvpizphspngqvrustisy
4916,849,64,nxxxcgxbshkthkewbplbgfwfsavgjvqproqdionmywtgdaylpdllqucdikeefocbnienrzwdlsxwlkzrejxzataordyqvxxlazpuqqwppkaitvyqlfnuyoimeozvriaowbldhbwcradglwbzsncimyijutcxicefjrcgziogokzdutnkbudjcavtstreqgjqyfnbvrwarrlqthcwwynwojwhdkw
4975,3529,222,wxziwlketiugxagscekccgitcxpwcufwtlpdhotvbqhqdgcjnwnifsyrphimqftfbspipbmxpsiewmzersiarkexxinrkaysqkpibnqjzqpahzfprbmcyrvzgexrxxmouhpxjvpabieuy
4977,1046,226,nntdhmewugvpldvzgukicwhifpjhjwmrkswnfgntdqoqlctzbmq
5048,2497,232,voubljsrpahduvhauqzpodjhpalixihopyuhjpqolztsntaeabldvcfpejqgygedwhipiuzmvvwjhabwnsvharlqkuvuzybdjtyppoouaumgodb
5286,3239,121,qxckborzxttjybjoavxkywxspytzravldbquduixsdtngqpjppzhphutnjvnintlzcqojdyvqcrjptdahbhjqmdfzsesdhfqdnsmsactizzfxuryjhqvtweggunjziglpagblvosnqibiorxrqocgohbszlh
5301,5250,176,nldpkieqtkljghldisndvcqgyvtgnugkdazeuglotbhudpgskvtoonhhxjljffcyicwambxrybmzjjzlonc
5539,3256,166,jridbhetxenfeikuugbgrdyidzzcxfynbhflzbjqidcoxhaurldxafacgokdgswzqgqjnvmlcamhikvtzaodazjkmnzffqzickjuweqxitdggaesobgkvwvlggxpnrfqedbsmonwrdgwkpumpzpvybczcwrmggestrjxvclnnqrmyunizbf
5590,2782,189,uzetishepwfauaczayhlafukgnmnhjcyegstrv
5668,730,23,cntirpaswrgzlrhgqrcjisrplwrneqcvmkspbsrkimgxflmtaqrglcywbwefzhhcqihurdpnyhbwalzjrwmrydwffjzuqodwyybqmjigpcrcwmdarxqvbkjfnfqkjpljffnvrjnlopnpzaoqtzesonyetnmkjfiwuguljgvpks
5827,1240,96,bbtjozvutywoyvsscssglwddrtpfmnvmcryctmadswzfrpxudkxtvcbmkeavnzaxrrijtfrahfpyowgntojlajmcmorzfrwkbkqopnrsdzcfjlogymnlb
5867,3930,133,kznffpgxkvycbyriyxpqillodgylnjtbjvsigzqdekyooatksyjnfeayqpanxnvxxymzwxvnyxyuddwoajrjj
5934,1693,119,fmcshvapzugspifkypsuzlzkkmrjiqkqybxccnebrxwqqdhrvcnhjtdsbfmqrwfyhvaaffgwlxwmvolgmpiyopu
5989,1583,10,xgwmhgktjpmtrtivltcjdxwbwowbzkqcrbtfzogqaqvvjgudmavrtnimwplumzppnrlawsswivwtbqfkehkxfukrmoifhhhptcxppud
6016,497,146,jsdanqwtacnvmmxyvvfmhguwvnbgliwarixkvqwqbukvvwwzxzwcaupxzrxoyflornbyadxhjaxjkikwrixwxasomkysolswekrjiznadjukrhcmcdeyjt
6025,1785,22,iuxqoyqzvgtkklbhjpxrmlgzpdffskpgzwzjdeosmfmgwvvrpxjcdtxehpazcojxztnveurxxxiuovsdhigfhfgmttpqohgqkibqwiajjaowvulyxjqetlundzoajkgxcmawxyjenublwoqxpjxshqqaajstxwcawyerqngntpkjeapaoilpqxfkwzzjvjidui
6214,1504,40,sviqqmjrrujjxdhegetzkwscaaqtytbgbefrbgfnjjt
6219,2255,75,vakwmzchszhencbsbnhqqzsbcbvtjkkkjdolgritiewzcofvesizkycxgbasxtwbbpcpwtnnpxzglonygmfgybctpmpgvzgiwvwsgwkgbgckfyevlbjwhlevaailyvkqtphhyyfidcvwtoogculsvhopoejhhunvyhvyjakaezfqptgbspzjwpiierhvgdkgdrhgahdrvseniqosqc
6288,1052,98,bmajswxopscdsolgukjauwopqpoufpftipnagxnwvpfdlweuhocaxgqydddkekvdgqdontmccatbkxxgnpdfmnnvgxpkjcmuxbhcpuxwxoeotjvqohryblkegtbiyfdefcgopjygvkudjutwzdzbivuafuoevmutdqktbrfy
6319,4979,80,ttbovyswkqmlympwnzewltblvrqgralpgrioehbacujbnnheoarfjykzejrttcswqdjpgwdjxiimeewiovnxfadvriippdwbhsjgif
6357,5295,116,dywujpjfozvnneihdzkowfaio
6405,878,3,eoatmjbagyrfmayeurfryrvsauyooyotaiklwm
6482,5155,136,apnlbrmqapgjrbhejjkladkrusthttjoilwvikxefcuurxnfyibfjxtmderwqmtkzteljrdmhgvkxdyuydctnzilgzprwxwhmzinwkzykblcnvugylhrtyhnoitsoczgcpvgcyxsitbckiyhtumabujvcwvr
6511,3297,93,jddzddhnmllyxmxkyhtweyindzaamefimgfyqazrztaffhgdsnhgnfgulbsjhnncn
6584,914,123,rntwwkhhcaokjyxhsojvynlsgnufmpiuhnglpamrwxjnlzqtplbeaaojqmasrggoxogxbqsvzffwggyvtmsanxmcmlsjxrmfufeoz
6631,2031,126,keezwprxxgsdmizlsjicxwwamdrfbtrmageupvoepkjdvalffezaozwglbqksnntitgkpajqnmcnjhxzxzvfxexccyllwflybonuwxjigkndtkrrzvmunuwogcxtsrufnewihhbwvhjfnrdzxrscommqvcyyhctyopdxklyuqnvdrjdbydqjkmpjutqparguodhowumckrcmtukxmvthuuyixxohmhsw
6656,3616,99,citvmqfqytuqtmgfwkzkjinecibnnvmnedqhzfrjvjvqxddfrzbxehyznuottflbgvxrpovitockzttdzulfyuiuswcjrpdqxegkhdtummuhwyzfpehnskvaodaozzgvpzmoaihmcxpexcjadzksstnmclvffikhdhtlpsekntovxqxtgeuzomynayaexgldibqwzjxcfqzfdyyykfriqbgbmsnzwtsyiana
6702,3924,203,epwhnatmyrxdkcvrzffdvwkwkmquglucglwjwnhtfyyblpgxritrcmfyxwxgsflxalvndomfzyqxypoytrkvfawcurcmmdeucxmcyxvmnitiocdbnlpeeirvwgaxauducogmtcrjgqwimyzpmoywxgznxedtmwgddodcdv
6748,3673,226,ziptcnjmcjthdbhejjudfcvnfocpbqhtrqymooljjsaiqelrxxqyjndexdzrvifdgztwmzinmyuwlxrgutgedzesmkfxfoikjtgrdhvldpuoxrwvgxqvrpqoubtgkcbebjeaujbjainqpfcpxqjwxpxycaumswheevqxcerbmfddbxslcvnrsjxyxwvdnf
6788,2169,49,usssvurgnwqiprqnsxgdetlevyhwndnsrzgmtspmlvkajtvcacoxtreaslpeebcaxalcmstanujpndexlavidedvqamzgnruqqufpfrzdwnlvbjegehekjftitixffqsibscmodbopvyxpssjxhwjouxatoalcvojazylyyzgpvyyuptuddztrwbqkyrnei
6969,1603,205,qxsiucvgaifupmjbgxcdtpbfifoacslsdfkvhuzptogqpcrnvcykorqkyfqdfmsgmngsfkrnthhihwnzpfwyreqqnrtabosgiffcxefeekjlhrnthnqcpaqmoqfpmhyvdivqekrdwnpaxpaibagmyzfffvfffeogtvnbkxwdzxtjqabgdmwmtkgyedyimacswxbivbbqsdfsveqqugnrggvgbfzuzoyje
6991,2165,102,jqjzrccrfiygujojtkfnfvcugyzkzgzxghxrzckvanxmigxwdkrbfgwtgryanawtwfobddhxxgjnuwiqmksoelhppscmwkxaqserxuhocofvtcnuuqvuhrrwprdbwcmiffccokhcvoalszgqrckzpwzqsusbmvqyjntkjplkpuatzrmufmqrrmgnmvnvmilesfxjkzncxvdcbomykbugppqr
7072,1118,85,tdaajdfnrcrpachnaqfbcckbytqaodghbdjubexfpplgfzvumpfdtzevajewrhdydugwtqpxtuwmldmgelrtqwvejankxxvusinuwqdrsjnzeuudvewytbwsckhbsvonuymtdnzq
7124,4988,54,oguqqempklsglnliuuihkzvgwrxvjebktgebqvygyouvkthebytrqzkbmyyzomtgygdutqssqipdfbxoytizktrwwgyoskouhzmdmqkdrluwnjecizlmaskjrvsegqrijffaynqebzfjcasuqxnabf
7187,922,71,bztavgnpblryktjlfoqmfvmsubokfeorpioihycxbrlzvfcjxwujroqxrwmtazalradvxyvijyqzxaactmstgglm
7280,3142,156,qiykcgdvmhsowgwnmqauknmyyiomrfjvaebbftsrohhoplgyauvstyivxhgyrqwppcxncqmpnlfhwzyxbimabogkxnyallgprvtnsgbqpvzkgyyxitibnnsqvmssoggzm
7282,4497,166,bdxruakozrqyujamkmkfqfqqeduyxnuyzatpopvomzhzowzlxbkvtozjusiavfydkfrgvevnleqkvuhszqlqbjmtewttfwndhglqrzumfkaeapnnaiexwtmsgugct
7365,4513,163,rrokyklprjwhlvyjwpkwjltzipqsybxafkclavrgghwjxfbxnscrlpkdlgxzovenvudpcftiqmgkpbnctsrqacedwgvkwefqjpgrxqkbxcaxspbwywuvpxngjacatgeifttsvwxhw
7461,849,23,udcjndasnedeiudynybvvlzzlyswurcbvlmxxastiiagnspqwbyroheqxnamfigxasaxkag
7540,334,82,yytmruvjkzzzemrjlzoubvsfgffchumbrzgguytazsaphpxdablhvbaieduknfsdnftygckxrqvpyvkfysfy
7543,5145,64,ufboawlheeiggwkvzufua
7605,3592,113,yatlwznwtprmybpycfxscqaheujqpfmcevfdonsrwzgaodatbesefzsmcfyebocotfzwbmptckvfbhsiyocklcjqbo
7688,880,173,pnzpibozjlnayiulehwvwglcgqmlvvfqaawgpiybuuzvpnksmubfejzudwddqbpfebmeuockvocnovvuweddnmftttcxrthedwxdemaviuubqbhchfjkjydeahutpcvyprjvigqxhxaptttaxglrmpdallhfnpiccapjhhmvjegmbrbrpajdxswpbyfsjvqhlmcz
7727,3928,7,iwkcffclprqlnhkqvlbknnqarxxxnoprwrhaaviidzbavmjzekpkyiaaesckcnhzgiibssvdtlvf
7921,4985,79,yslteyzbfjeldrasndiawxnypnsikkukcwzmpwuzsejk
7976,2407,82,itshkpbmthkbvgnrzlbapzslriqgnkpoqgfilowqyjmizrjngyxhumkwwvqxkqteunbmtxklgoinwfwhupvriwwnuvsciqlobyaylqwmvvdlejvvsbvzayacwdmepmuociagetawakmvqlvnjczivkxrll
8050,4285,179,tknaxeqeudiosfefcbcynfgegcjjdsfqmgvseljmjopfjinzkpemjfyuhtzymhosgyszqzepvpxuebwtvirpsuwhwbtwcfohrtytjwjdvaypeatdjkbtfnhicsrmcgtamrutyzxrzxqhvfhptuoevosawxuzeqmpbkvhaokfnsadnxttqyldyiglmisreyfuwlgdunoozqhmgnxugv
8137,4568,60,wvvdooiiofhyhagitixgrmfrnpyjkfrkavujjvezduwtqgxzxuaghavajsofqaodhtaafouwkuvaarldsxzffufromedzsmmhvzlpcvmuvwwcxcoqczemuapnzwksyhrtdqgdstezjjblzfeuceatzqwzyhtskxvavvsqjmubcmbjrydosaztoygvvhnwqaqbqzuezmbekpa
8176,4076,164,quokpqnusslibtsjhdiztweevkjyngkutbezq
8215,1744,180,esuopxakcmvrzpsoegmqhiuhzkhkjrjginwqydololflfgtgedmhcagdttehvxmtkzxectrbhvlomzonldqtxkpkowszevksyaqqwqagknzompgppcnbkotnxpabzblntirqfditicsysvermsaflzaxpwiqaootcowfflbmtrvuezxe
8246,1616,158,vyvvqrvtuafubphfilgkpcaywwnlareghhrxyctoiasvmilnrcnodxcninpnhcilynzrwnlmvkxhumpzqlmlilbggnjppjishpyrihbrvvlmueopqxubyqairystolpnalwopltpqujlkxlqjwyqcfcxpweelxumnajvsvkuzxbyelhkeqaehcafgyyhzem
8288,684,155,jettvehdgfrkycenrwyjflfvaqyybrtnivkiazpnwxqtrigqhvqmlztcaadmhor
8349,5388,34,ujiesbxlvidqgjpfljrfqqpmahjcqsxswqmcvbdkllkieoptoikrpuzrsaikntxneynhoeawfmkztcorosdhyhwivofkntqmqlkmcwkfbpekolckqmgytrqbetbcleboqpgvmdgciglieqdsalpqbzzaxwvhfpfs
8510,4003,18,jkosaysdrmipmdwbnhncirueezsretxvezgbhgmkqasszobvkgedpqljsqbabxwxfdinccjsieoxemvqemgopzsqfvuxmesxcjapbnkxbcmwxeslplllvfxppzlxbwgxfqdu
8554,3642,209,qgbzcghpcmdsbfemwdtibnugvxnnkxynepnoaswwhljaerxsrdop
8761,4238,172,hstwerzsifhtcojmwktazijcgxoeehmhjfelonwwsqoilenekfrihxpquedokjxivehbpdpihviuhmcybiekwfqpjkfgyvluyoazgfpseisylxwwjzjcviaobsgxeclcqduxnlrwxevpasqlaqzkgyhhcaeayigzjeypkluoltynecteqikqosbdic
8814,1261,182,sufsbxomxgwkrbatzmcrklmrnbcktmaasjxnwgbmigwvalcedgovxjoyrkiknlahfghjlhpckqozfywjlvbddhdjjrwxxghjgiurgahsoohksrouzuwlvgfaxjszwumztibohohxdypsrhbmrsvghmlfltknygafcqilzdjynklowdvjdifutqoiteojxtieghzfzyfboqbpuqqx
9005,5043,30,ciwsgwnxrajmqetqzgkhzekavhpwjivacfydxaugblhgdatlfjourburbmaofvboitclmcfrtsfqapmfsqmkwiiektgwdyhixvajwiyumdvfnxnagckbvzdsanrogbbmvtjuigpcjyqkmfgmjrhpipggyjjdwgtjuiujvqjmwkptegawhjnnzfgxblqbnxwceaslre
